,product_name,retail_price,discounted_price,brand,Sub Category,Category_1,Date,Time,Year,Month,Day
0,Alisha Solid Women's Cycling Shorts,999,379,Alisha, Women's Clothing ,Clothing ,25-03-2016,22:59:23,2016,3,25
1,FabHomeDecor Fabric Double Sofa Bed,32157,22646,FabHomeDecor, Living Room Furniture ,Furniture ,25-03-2016,22:59:23,2016,3,25
2,AW Bellies,999,499,AW, Women's Footwear ,Footwear ,25-03-2016,22:59:23,2016,3,25
3,Alisha Solid Women's Cycling Shorts,699,267,Alisha, Women's Clothing ,Clothing ,25-03-2016,22:59:23,2016,3,25
4,Sicons All Purpose Arnica Dog Shampoo,220,210,Sicons, Grooming ,Pet Supplies ,25-03-2016,22:59:23,2016,3,25
5,Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,430,430,Eternal Gandhi,,Eternal Gandhi Super Series Crystal Paper Weight...,25-03-2016,22:59:23,2016,3,25
6,Alisha Solid Women's Cycling Shorts,1199,479,Alisha, Women's Clothing ,Clothing ,25-03-2016,22:59:23,2016,3,25
7,FabHomeDecor Fabric Double Sofa Bed,32157,22646,FabHomeDecor, Living Room Furniture ,Furniture ,25-03-2016,22:59:23,2016,3,25
8,"dilli bazaaar Bellies, Corporate Casuals, Casuals",699,349,dilli bazaaar, Women's Footwear ,Footwear ,25-03-2016,22:59:23,2016,3,25
9,Alisha Solid Women's Cycling Shorts,1199,479,Alisha, Women's Clothing ,Clothing ,25-03-2016,22:59:23,2016,3,25
10,Ladela Bellies,1724,950,Ladela, Women's Footwear ,Footwear ,25-03-2016,22:59:23,2016,3,25
11,Carrel Printed Women's,2299,910,Carrel, Women's Clothing ,Clothing ,25-03-2016,22:59:23,2016,3,25
12,Sicons All Purpose Tea Tree Dog Shampoo,,,Sicons, Grooming ,Pet Supplies ,25-03-2016,22:59:23,2016,3,25
13,Alisha Solid Women's Cycling Shorts,999,379,Alisha, Women's Clothing ,Clothing ,25-03-2016,22:59:23,2016,3,25
14,Freelance Vacuum Bottles 350 ml Bottle,699,699,Freelance, School Supplies ,Pens & Stationery ,25-03-2016,22:59:23,2016,3,25
15,Alisha Solid Women's Cycling Shorts,999,379,Alisha, Women's Clothing ,Clothing ,25-03-2016,22:59:23,2016,3,25
16,FabHomeDecor Fabric Double Sofa Bed,32157,22646,FabHomeDecor, Living Room Furniture ,Furniture ,25-03-2016,22:59:23,2016,3,25
17,Style Foot Bellies,899,449,Style Foot, Women's Footwear ,Footwear ,25-03-2016,22:59:23,2016,3,25
18,Carrel Printed Women's,2499,999,Carrel, Women's Clothing ,Clothing ,25-03-2016,22:59:23,2016,3,25
19,FabHomeDecor Fabric Double Sofa Bed,32157,22646,FabHomeDecor, Living Room Furniture ,Furniture ,25-03-2016,22:59:23,2016,3,25
20,Sicons Conditioning Conditoner Dog Shampoo,110,100,Sicons, Grooming > Skin & Coat Care ,Pet Supplies ,25-03-2016,22:59:23,2016,3,25
21,Alisha Solid Women's Cycling Shorts,,,Alisha, Women's Clothing ,Clothing ,25-03-2016,22:59:23,2016,3,25
22,dongli Printed Boy's Round Neck T-Shirt,2400,1039,dongli, Kids' Clothing ,Clothing ,31-03-2016,15:22:07,2016,3,31
23,SWAGGA Women Clogs,1500,1500,SWAGGA, Women's Footwear ,Footwear ,31-03-2016,15:22:07,2016,3,31
24,Kennel Rubber Dumbell With Bell - Small Rubber Rubber Toy For Dog,190,190,Kennel, Toys ,Pet Supplies ,03-01-2016,20:56:50,2016,1,3
25,Glus Wedding Lingerie Set,1299,699,, Women's Clothing ,Clothing ,03-01-2016,20:56:50,2016,1,3
26,Veelys Shiny White Quad Roller Skates - Size 4.5 UK,3199,2499,, Other Sports ,Sports & Fitness ,03-01-2016,20:56:50,2016,1,3
27,Bulaky vanity case Jewellery Vanity Case,499,390,, Makeup ,Beauty and Personal Care ,03-01-2016,20:56:50,2016,1,3
28,FDT Women's Leggings,699,309,, Women's Clothing ,Clothing ,03-01-2016,20:56:50,2016,1,3
29,Madcaps C38GR30 Men's Cargos,2199,1699,, Men's Clothing ,Clothing ,03-01-2016,20:56:50,2016,1,3
30,Bengal Blooms Rose Artificial Plant  with Pot,799,579,Bengal Blooms,,Bengal Blooms Rose Artificial Plant  with Pot (3...,11-05-2016,09:26:02,2016,5,11
31,Indcrown Net Embroidered Semi-stitched Lehenga Choli Material,999,699,Indcrown, Women's Clothing ,Clothing ,24-06-2016,16:24:13,2016,6,24
32,Shopmania Music Band A5 Notebook Spiral Bound,499,275,Shopmania, Diaries & Notebooks ,Pens & Stationery ,24-06-2016,16:24:13,2016,6,24
33,Shopmania Music Band A5 Notebook Spiral Bound,499,275,Shopmania, Diaries & Notebooks ,Pens & Stationery ,24-06-2016,16:24:13,2016,6,24
34,"Tiara Diaries 2016-2017 Designer LA Kaarta ""TAKING ACTION GETTING RESULT"" (Set of 3) B5 Notebook Hard Bound",1000,837,Tiara Diaries, Diaries & Notebooks ,Pens & Stationery ,24-06-2016,16:24:13,2016,6,24
35,KAJCI Embroidered Women's Waistcoat,1200,699,KAJCI, Women's Clothing ,Clothing ,03-03-2016,07:19:26,2016,3,3
36,Packman 8 x 10 inches Security Bags Without POD Jacket Courier Bag Security Bag,350,298,Packman, Office Supplies ,Pens & Stationery ,03-03-2016,07:19:26,2016,3,3
37,Pick Pocket Embroidered Women's Waistcoat,899,899,Pick Pocket, Women's Clothing ,Clothing ,03-03-2016,07:19:26,2016,3,3
38,Angelfish Silk Potali Potli,999,399,Angelfish, Bags ,"Bags, Wallets & Belts ",03-03-2016,07:19:26,2016,3,3
39,Oye Boy's Dungaree,899,764,Oye, Kids' Clothing ,Clothing ,03-03-2016,07:19:26,2016,3,3
40,Nuride Canvas Shoes,1999,1349,Nuride, Women's Footwear ,Footwear ,26-05-2016,06:31:26,2016,5,26
41,OM SHIVAKRITI Square wall Clock Showpiece  -  38.1 cm,1499,1499,OM SHIVAKRITI, Showpiece ,Home Decor & Festive Needs ,26-05-2016,06:31:26,2016,5,26
42,Himmlisch ST381 Magnetic Sun Shade For Maruti Alto,6999,1899,Himmlisch, Accessories & Spare parts ,Automotive ,26-05-2016,06:31:26,2016,5,26
43,Rapter BNC-179 BNC Wire Connector,2299,1400,Rapter, Tools ,Tools & Hardware ,05-04-2016,17:56:58,2016,4,5
44,Vishudh Printed Women's Straight Kurta,999,499,Vishudh,,Vishudh Printed Women's Straight Kurta,05-04-2016,17:56:58,2016,4,5
45,Vishudh Printed Women's Straight Kurta,899,449,Vishudh,,Vishudh Printed Women's Straight Kurta,05-04-2016,17:56:58,2016,4,5
46,Vishudh Printed Women's Anarkali Kurta,2099,1049,Vishudh,,Vishudh Printed Women's Anarkali Kurta,05-04-2016,17:56:58,2016,4,5
47,BuildTrack PIR Wireless Motion Sensor - One Switch Control Wireless Sensor Security System,6500,5000,BuildTrack,,BuildTrack PIR Wireless Motion Sensor - One Swit...,05-04-2016,17:56:58,2016,4,5
48,Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER Wired Sensor Security System,9990,4990,Skayvon,,Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER...,05-04-2016,17:56:58,2016,4,5
49,MASARA Solid Women's Straight Kurta,1399,599,MASARA,,MASARA Solid Women's Straight Kurta,05-04-2016,17:56:58,2016,4,5
50,Vishudh Printed Women's Straight Kurta,899,449,Vishudh,,Vishudh Printed Women's Straight Kurta,05-04-2016,17:56:58,2016,4,5
51,Rapter BNC-047 BNC Wire Connector,1299,899,Rapter, Tools ,Tools & Hardware ,05-04-2016,17:56:58,2016,4,5
52,Skayvon SUBMERSIBBLE THREE PHASE PUMP CONTROLLER Wired Sensor Security System,8999,4990,Skayvon,,Skayvon SUBMERSIBBLE THREE PHASE PUMP CONTROLLER...,05-04-2016,17:56:58,2016,4,5
53,Vishudh Printed Women's Straight Kurta,899,449,Vishudh,,Vishudh Printed Women's Straight Kurta,05-04-2016,17:56:58,2016,4,5
54,Behringer Xenyx 502 Analog Sound Mixer,10000,6600,Behringer,,Behringer Xenyx 502 Analog Sound Mixer,05-04-2016,17:56:58,2016,4,5
55,Vishudh Printed Women's Straight Kurta,899,449,Vishudh,,Vishudh Printed Women's Straight Kurta,05-04-2016,17:56:58,2016,4,5
56,Vishudh Printed Women's Straight Kurta,899,449,Vishudh,,Vishudh Printed Women's Straight Kurta,05-04-2016,17:56:58,2016,4,5
57,MASARA Solid Women's Straight Kurta,1399,599,MASARA,,MASARA Solid Women's Straight Kurta,05-04-2016,17:56:58,2016,4,5
58,MASARA Solid Women's Straight Kurta,1399,550,MASARA,,MASARA Solid Women's Straight Kurta,05-04-2016,17:56:58,2016,4,5
59,Roadster Men's Zipper Solid Cardigan,1399,699,Roadster, Men's Clothing ,Clothing ,05-04-2016,17:56:58,2016,4,5
60,Vishudh Printed Women's Straight Kurta,999,499,Vishudh,,Vishudh Printed Women's Straight Kurta,05-04-2016,17:56:58,2016,4,5
61,Noor Embroidered Women's Straight Kurta,1649,849,Noor,,Noor Embroidered Women's Straight Kurta,05-04-2016,17:56:58,2016,4,5
62,MASARA Solid Women's Straight Kurta,1399,599,MASARA,,MASARA Solid Women's Straight Kurta,05-04-2016,17:56:58,2016,4,5
63,Vishudh Printed Women's Straight Kurta,899,449,Vishudh,,Vishudh Printed Women's Straight Kurta,05-04-2016,17:56:58,2016,4,5
64,Libas Printed Women's A-line Kurta,899,449,Libas,,Libas Printed Women's A-line Kurta,05-04-2016,17:56:58,2016,4,5
65,Libas Printed Women's Anarkali Kurta,1849,924,Libas,,Libas Printed Women's Anarkali Kurta,05-04-2016,17:56:58,2016,4,5
66,MASARA Solid Women's Straight Kurta,999,499,MASARA,,MASARA Solid Women's Straight Kurta,05-04-2016,17:56:58,2016,4,5
67,HRS ULTIMATE BOY Chest Pads,440,395,HRS, Team Sports ,Sports & Fitness ,30-04-2016,03:22:56,2016,4,30
68,Vermello Men Casual Brown Genuine Leather Belt,1495,795,Vermello, Belts ,"Bags, Wallets & Belts ",30-04-2016,03:22:56,2016,4,30
69,HRS CLUB BOY Thigh Pads,280,250,HRS, Team Sports ,Sports & Fitness ,30-04-2016,03:22:56,2016,4,30
70,Ligans NY Men Formal Black Genuine Leather Belt,795,695,Ligans NY, Belts ,"Bags, Wallets & Belts ",30-04-2016,03:22:56,2016,4,30
71,Elegance Polyester Multicolor Abstract Eyelet Door Curtain,1899,899,Elegance, Curtains & Accessories ,Home Furnishing ,30-04-2016,03:22:56,2016,4,30
72,Liza Women Wedges,1990,1393,Liza, Women's Footwear ,Footwear ,30-04-2016,03:22:56,2016,4,30
73,HRS ULTIMATE BOY Elbow Pads,250,230,HRS, Team Sports ,Sports & Fitness ,30-04-2016,03:22:56,2016,4,30
74,Sathiyas Cotton Bath Towel,600,449,Sathiyas, Baby Bath & Skin ,Baby Care ,30-04-2016,03:22:56,2016,4,30
75,HRS ULTIMATE MEN Chest Pads,440,395,HRS, Team Sports ,Sports & Fitness ,30-04-2016,03:22:56,2016,4,30
76,Eurospa Cotton Terry Face Towel Set,,,Eurospa, Baby Bath & Skin ,Baby Care ,30-04-2016,03:22:56,2016,4,30
77,SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet,2699,1299,SANTOSH ROYAL FASHION, Bed Linen ,Home Furnishing ,20-06-2016,08:49:52,2016,6,20
78,CASEDEAL Microsoft Nokia lumia x2 Back Panel,1999,380,CASEDEAL, Mobile Accessories ,Mobiles & Accessories ,20-06-2016,08:49:52,2016,6,20
79,Mario Gotze Women's Printed Casual Orange Shirt,1499,899,Mario Gotze, Women's Clothing ,Clothing ,20-06-2016,08:49:52,2016,6,20
80,Jaipur Print Cotton Floral King sized Double Bedsheet,2599,698,Jaipur Print, Bed Linen ,Home Furnishing ,20-06-2016,08:49:52,2016,6,20
81,Shilpi NHSCN003 Coin Bank,900,650,Shilpi, College Supplies ,Pens & Stationery ,20-06-2016,08:49:52,2016,6,20
82,Jaipur Print Cotton Floral King sized Double Bedsheet,2599,698,Jaipur Print, Bed Linen ,Home Furnishing ,20-06-2016,08:49:52,2016,6,20
83,Babeezworld Dungaree Baby Boy's  Combo,999,499,Babeezworld, Infant Wear ,Baby Care ,17-05-2016,01:21:10,2016,5,17
84,Redbag Eight Armed Goddess Sherawali Maa Showpiece  -  10.8 cm,1600,1200,Redbag, Table Decor & Handicrafts ,Home Decor & Festive Needs ,06-06-2016,22:03:00,2016,6,6
